airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Economy,3.75,1,5955
Indigo,6E-5328,Delhi,Morning,zero,Morning,Mumbai,Economy,2.5,1,6165
Vistara,UK-933,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.17,1,6690
Indigo,6E-2046,Delhi,Evening,zero,Evening,Mumbai,Economy,2.17,1,6585
AirAsia,I5-744,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.83,1,8869
SpiceJet,SG-8169,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,10260
Indigo,6E-5041,Delhi,Evening,zero,Night,Mumbai,Economy,2.17,1,10470
GO_FIRST,G8-165,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8,1,10575
Indigo,6E-2373,Delhi,Afternoon,one,Evening,Mumbai,Economy,6,1,10838
Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,14.67,1,12150
Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,16.17,1,12150
Vistara,UK-819,Delhi,Afternoon,one,Morning,Mumbai,Economy,18,1,12150
Vistara,UK-801,Delhi,Morning,one,Morning,Mumbai,Economy,23.17,1,12150
Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,24.17,1,12150
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.83,1,11900
SpiceJet,SG-2976,Delhi,Evening,one,Night,Mumbai,Economy,4.5,1,12123
SpiceJet,SG-2976,Delhi,Evening,one,Morning,Mumbai,Economy,15.25,1,12123
Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11,1,12150
Air_India,AI-502,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.08,1,12150
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,22.83,1,12150
Air_India,AI-803,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.42,1,12150
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,17.75,1,12215
SpiceJet,SG-339,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.58,1,12230
Vistara,UK-955,Delhi,Evening,zero,Night,Mumbai,Economy,2.33,1,12780
Vistara,UK-627,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.67,1,12885
AirAsia,I5-784,Delhi,Evening,one,Early_Morning,Mumbai,Economy,15.17,1,12539
Air_India,AI-9643,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,12938
Air_India,AI-540,Delhi,Night,one,Morning,Mumbai,Economy,11.42,1,12990
Air_India,AI-429,Delhi,Morning,one,Morning,Mumbai,Economy,22.25,1,12990
Air_India,AI-439,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26,1,12990
Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.75,1,13086
Indigo,6E-2193,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.83,1,13279
Indigo,6E-2168,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,13279
Indigo,6.00E-152,Delhi,Morning,one,Evening,Mumbai,Economy,7.67,1,13279
Indigo,6E-2193,Delhi,Afternoon,one,Night,Mumbai,Economy,8.33,1,13279
Indigo,6E-369,Delhi,Night,one,Morning,Mumbai,Economy,10.42,1,13279
Vistara,UK-899,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,23.75,1,13673
Air_India,AI-764,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,13410
Vistara,UK-747,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5,1,13935
Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42,1,14040
Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08,1,14040
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,14093
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,28.17,1,14093
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25,1,14093
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8,1,13767
GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25,1,13932
Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92,1,14408
Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42,1,14408
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17,1,14250
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,1,14539
Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83,1,14985
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,14670
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83,1,15195
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25,1,15720
Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42,1,15983
Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26,1,15983
Indigo,6.00E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17,1,15720
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25,1,15720
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08,1,15720
Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33,1,16245
Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42,1,16613
Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,17,1,16665
Vistara,UK-835,Delhi,Evening,one,Night,Mumbai,Economy,26.67,1,16665
Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17,1,16455
Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75,1,16665
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75,1,17348
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17348
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75,1,17348
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75,1,17348
Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83,1,17348
Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5,1,17400
Vistara,UK-707,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5,1,17505
Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58,1,17610
Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83,1,17295
Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5,1,17663
Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5,1,18030
Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83,1,18398
Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83,1,18450
GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.92,1,18487
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6,1,18923
Indigo,6E-5312,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.33,7,5208
Air_India,AI-660,Mumbai,Evening,one,Night,Hyderabad,Economy,5.58,7,7584
Air_India,AI-687,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.58,7,7584
Air_India,AI-442,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8,7,7584
Air_India,AI-809,Mumbai,Morning,one,Evening,Hyderabad,Economy,9.33,7,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,11.33,7,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.25,7,7584
Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.33,7,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Economy,13,7,7584
Air_India,AI-809,Mumbai,Morning,one,Night,Hyderabad,Economy,13.58,7,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Economy,14.42,7,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.5,7,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,15.58,7,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.5,7,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Hyderabad,Economy,16.5,7,7584
Air_India,AI-864,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.58,7,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Hyderabad,Economy,16.92,7,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Hyderabad,Economy,17.92,7,7584
Air_India,AI-687,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,18.5,7,7584
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,18.92,7,7584
Air_India,AI-687,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,19.92,7,7584
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,20.33,7,7584
Air_India,AI-867,Mumbai,Night,one,Evening,Hyderabad,Economy,21.83,7,7584
Air_India,AI-888,Mumbai,Evening,one,Evening,Hyderabad,Economy,24.33,7,7584
Air_India,AI-809,Mumbai,Morning,one,Morning,Hyderabad,Economy,24.5,7,7584
Air_India,AI-660,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.33,7,7584
Air_India,AI-809,Mumbai,Morning,one,Morning,Hyderabad,Economy,25.92,7,7584
Vistara,UK-853,Mumbai,Afternoon,one,Night,Hyderabad,Economy,4.92,7,8988
Vistara,UK-857,Mumbai,Night,one,Morning,Hyderabad,Economy,12.08,7,8988
Vistara,UK-851,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,13.92,7,8988
Vistara,UK-865,Mumbai,Evening,one,Morning,Hyderabad,Economy,13.92,7,8988
Vistara,UK-845,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.92,7,8988
Vistara,UK-849,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.58,7,8988
Vistara,UK-853,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,17.08,7,8988
Vistara,UK-857,Mumbai,Night,one,Night,Hyderabad,Economy,23.92,7,8988
Vistara,UK-865,Mumbai,Evening,one,Night,Hyderabad,Economy,25.75,7,8988
Vistara,UK-851,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,26.08,7,8988
Vistara,UK-863,Mumbai,Morning,one,Night,Hyderabad,Economy,11.83,7,9566
Vistara,UK-863,Mumbai,Morning,one,Morning,Hyderabad,Economy,24,7,9566
Vistara,UK-910,Mumbai,Evening,one,Night,Hyderabad,Economy,5.33,7,9879
Vistara,UK-902,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.17,7,9879
Vistara,UK-944,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.25,7,9879
Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,9.5,7,9879
Vistara,UK-958,Mumbai,Afternoon,one,Night,Hyderabad,Economy,10.5,7,9879
Vistara,UK-986,Mumbai,Night,one,Morning,Hyderabad,Economy,10.92,7,9879
Vistara,UK-954,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,11,7,9879
Vistara,UK-960,Mumbai,Morning,one,Night,Hyderabad,Economy,11,7,9879
Vistara,UK-950,Mumbai,Night,one,Morning,Hyderabad,Economy,11.75,7,9879
Vistara,UK-988,Mumbai,Night,one,Morning,Hyderabad,Economy,12.75,7,9879
Vistara,UK-930,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,15.42,7,9879
Vistara,UK-910,Mumbai,Evening,one,Morning,Hyderabad,Economy,16.08,7,9879
Vistara,UK-954,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.92,7,9879
Vistara,UK-902,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,17.92,7,9879
Vistara,UK-988,Mumbai,Night,one,Evening,Hyderabad,Economy,20.08,7,9879
Vistara,UK-950,Mumbai,Night,one,Evening,Hyderabad,Economy,22,7,9879
Vistara,UK-988,Mumbai,Night,one,Evening,Hyderabad,Economy,23,7,9879
Air_India,AI-683,Mumbai,Night,one,Night,Hyderabad,Economy,24.08,7,9671
Vistara,UK-930,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Economy,5.08,7,10058
Vistara,UK-954,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Economy,6.58,7,10058
Vistara,UK-986,Mumbai,Night,one,Afternoon,Hyderabad,Economy,13.83,7,10058
Vistara,UK-950,Mumbai,Night,one,Afternoon,Hyderabad,Economy,14.67,7,10058
Air_India,AI-651,Mumbai,Morning,one,Evening,Hyderabad,Economy,7.75,7,9788
Air_India,AI-570,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,4.58,7,9828
Indigo,6E-5202,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,3.42,7,10091
Vistara,UK-944,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,5.25,7,10593
Vistara,UK-994,Mumbai,Morning,one,Evening,Hyderabad,Economy,6.58,7,10593
Vistara,UK-958,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,7.5,7,10593
Vistara,UK-960,Mumbai,Morning,one,Evening,Hyderabad,Economy,8,7,10593
Vistara,UK-996,Mumbai,Evening,one,Afternoon,Hyderabad,Economy,18.08,7,10593
Vistara,UK-996,Mumbai,Evening,one,Evening,Hyderabad,Economy,22.5,7,10593
Vistara,UK-996,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.42,7,10593
GO_FIRST,G8-382,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8,7,10669
Air_India,AI-867,Mumbai,Night,one,Night,Hyderabad,Economy,22.75,7,10777
Air_India,AI-867,Mumbai,Night,one,Night,Hyderabad,Economy,23.33,7,10777
Vistara,UK-928,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,13.42,7,11129
Vistara,UK-940,Mumbai,Evening,one,Morning,Hyderabad,Economy,13.92,7,11129
Vistara,UK-970,Mumbai,Morning,one,Night,Hyderabad,Economy,14.17,7,11129
Vistara,UK-928,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.42,7,11129
Vistara,UK-940,Mumbai,Evening,one,Afternoon,Hyderabad,Economy,16.83,7,11129
Vistara,UK-940,Mumbai,Evening,one,Evening,Hyderabad,Economy,21.25,7,11129
Vistara,UK-940,Mumbai,Evening,one,Evening,Hyderabad,Economy,24.17,7,11129
Air_India,AI-9657,Mumbai,Evening,one,Night,Hyderabad,Economy,26,7,11403
Air_India,AI-442,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,26,7,11639
Air_India,AI-809,Mumbai,Morning,one,Evening,Hyderabad,Economy,31.58,7,11639
Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,33.58,7,11639
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,34.5,7,11639
Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,34.58,7,11639
Vistara,UK-651,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.42,7,12978
Air_India,AI-867,Mumbai,Night,one,Evening,Hyderabad,Economy,22.25,7,13086
Air_India,AI-637,Mumbai,Evening,two_or_more,Morning,Hyderabad,Economy,15.92,7,13170
Air_India,AI-637,Mumbai,Evening,two_or_more,Morning,Hyderabad,Economy,17.33,7,13170
Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,11.5,7,14028
GO_FIRST,G8-511,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,5.67,7,14029
Air_India,AI-663,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.67,7,14238
Air_India,AI-774,Mumbai,Night,one,Night,Hyderabad,Economy,24.33,7,14238
Air_India,AI-675,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,15.08,7,15078
Indigo,6E-711,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,5,7,15288
Indigo,6E-711,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.5,7,15288
Indigo,6E-6809,Mumbai,Evening,one,Night,Hyderabad,Economy,5.67,7,15708
Indigo,6.00E-179,Mumbai,Morning,one,Evening,Hyderabad,Economy,7.58,7,15708
GO_FIRST,G8-371,Mumbai,Evening,one,Night,Hyderabad,Economy,7,7,15709
GO_FIRST,G8-331,Mumbai,Morning,one,Night,Hyderabad,Economy,11.83,7,15709
Air_India,AI-685,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16,7,15813
Indigo,6.00E-179,Mumbai,Morning,one,Afternoon,Hyderabad,Economy,4.25,7,18281
Vistara,UK-613,Mumbai,Afternoon,two_or_more,Evening,Hyderabad,Economy,7.67,7,20983
Vistara,UK-655,Mumbai,Morning,two_or_more,Evening,Hyderabad,Economy,8.42,7,23709
Vistara,UK-873,Mumbai,Early_Morning,zero,Early_Morning,Hyderabad,Economy,1.5,8,4263
Vistara,UK-877,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.5,8,4263
Vistara,UK-875,Mumbai,Evening,zero,Night,Hyderabad,Economy,1.58,8,4263
Indigo,6E-5209,Mumbai,Early_Morning,zero,Early_Morning,Hyderabad,Economy,1.33,8,4263
Indigo,6E-354,Mumbai,Afternoon,zero,Afternoon,Hyderabad,Economy,1.33,8,4263
Indigo,6E-5217,Mumbai,Evening,zero,Evening,Hyderabad,Economy,1.33,8,4263
Indigo,6E-6818,Mumbai,Evening,zero,Night,Hyderabad,Economy,1.33,8,4263
Indigo,6E-5208,Mumbai,Evening,zero,Evening,Hyderabad,Economy,1.42,8,4263
Indigo,6E-5371,Mumbai,Evening,zero,Night,Hyderabad,Economy,1.5,8,4263
Indigo,6E-5359,Mumbai,Early_Morning,zero,Morning,Hyderabad,Economy,1.67,8,4263
Air_India,AI-619,Mumbai,Night,zero,Night,Hyderabad,Economy,1.33,8,4263
AirAsia,I5-942,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,4.67,8,4259
GO_FIRST,G8-511,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,5.67,8,4262
GO_FIRST,G8-391,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.33,8,4262
GO_FIRST,G8-390,Mumbai,Early_Morning,one,Afternoon,Hyderabad,Economy,9.67,8,4262
GO_FIRST,G8-319,Mumbai,Morning,one,Night,Hyderabad,Economy,11.92,8,4262
GO_FIRST,G8-327,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,13.83,8,4262
GO_FIRST,G8-329,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,15.83,8,4262
Indigo,6E-5312,Mumbai,Morning,zero,Afternoon,Hyderabad,Economy,1.33,8,4578
Air_India,AI-660,Mumbai,Evening,one,Night,Hyderabad,Economy,5.58,8,7584
Air_India,AI-687,Mumbai,Afternoon,one,Night,Hyderabad,Economy,7.58,8,7584
Air_India,AI-809,Mumbai,Morning,one,Evening,Hyderabad,Economy,9.33,8,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,11.33,8,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.25,8,7584
Air_India,AI-864,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,12.33,8,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Economy,13,8,7584
Air_India,AI-809,Mumbai,Morning,one,Night,Hyderabad,Economy,13.58,8,7584
Air_India,AI-867,Mumbai,Night,one,Morning,Hyderabad,Economy,14.42,8,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.5,8,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,15.58,8,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.5,8,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Hyderabad,Economy,16.5,8,7584
Air_India,AI-864,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,16.58,8,7584
Air_India,AI-888,Mumbai,Evening,one,Morning,Hyderabad,Economy,16.92,8,7584
Air_India,AI-660,Mumbai,Evening,one,Morning,Hyderabad,Economy,17.92,8,7584
Air_India,AI-687,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,18.5,8,7584
Air_India,AI-687,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,19.92,8,7584
Air_India,AI-867,Mumbai,Night,one,Evening,Hyderabad,Economy,21.83,8,7584
Air_India,AI-888,Mumbai,Evening,one,Evening,Hyderabad,Economy,24.33,8,7584
Air_India,AI-809,Mumbai,Morning,one,Morning,Hyderabad,Economy,24.5,8,7584
Air_India,AI-660,Mumbai,Evening,one,Evening,Hyderabad,Economy,25.33,8,7584
Air_India,AI-809,Mumbai,Morning,one,Morning,Hyderabad,Economy,25.92,8,7584
Air_India,AI-867,Mumbai,Night,one,Night,Hyderabad,Economy,26.08,8,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,26.5,8,7584
Air_India,AI-687,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,27.33,8,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,27.42,8,7584
Air_India,AI-864,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,27.5,8,7584
Air_India,AI-806,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,27.92,8,7584
Air_India,AI-635,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,28.83,8,7584
Air_India,AI-442,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8,8,8508
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,18.92,8,8508
Air_India,AI-442,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,20.33,8,8508
AirAsia,I5-620,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,14.5,8,8568
Vistara,UK-853,Mumbai,Afternoon,one,Night,Hyderabad,Economy,4.92,8,8988
Vistara,UK-863,Mumbai,Morning,one,Night,Hyderabad,Economy,11.83,8,8988
Vistara,UK-851,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,13.92,8,8988
Vistara,UK-845,Mumbai,Early_Morning,one,Night,Hyderabad,Economy,14.92,8,8988
Vistara,UK-857,Mumbai,Night,one,Night,Hyderabad,Economy,23.92,8,8988
Vistara,UK-865,Mumbai,Evening,one,Night,Hyderabad,Economy,25.75,8,8988
Vistara,UK-857,Mumbai,Night,one,Morning,Hyderabad,Economy,12.08,8,9198
Vistara,UK-865,Mumbai,Evening,one,Morning,Hyderabad,Economy,13.92,8,9198
Vistara,UK-849,Mumbai,Evening,one,Morning,Hyderabad,Economy,15.58,8,9198
Vistara,UK-853,Mumbai,Afternoon,one,Morning,Hyderabad,Economy,17.08,8,9198
Vistara,UK-863,Mumbai,Morning,one,Morning,Hyderabad,Economy,24,8,9198
Vistara,UK-851,Mumbai,Early_Morning,one,Morning,Hyderabad,Economy,26.08,8,9198
Air_India,AI-639,Mumbai,Morning,one,Evening,Hyderabad,Economy,10.25,8,8988
Air_India,AI-639,Mumbai,Morning,one,Night,Hyderabad,Economy,10.75,8,8988
Air_India,AI-607,Mumbai,Evening,one,Early_Morning,Hyderabad,Economy,15.08,8,8988
Air_India,AI-639,Mumbai,Morning,one,Early_Morning,Hyderabad,Economy,22.33,8,8988
Air_India,AI-607,Mumbai,Evening,one,Evening,Hyderabad,Economy,26.25,8,8988
Air_India,AI-651,Mumbai,Morning,one,Evening,Hyderabad,Economy,7.75,8,9158
Air_India,AI-683,Mumbai,Night,one,Night,Hyderabad,Economy,24.08,8,9356
Vistara,UK-944,Mumbai,Afternoon,one,Evening,Hyderabad,Economy,5.25,8,9879
SpiceJet,SG-517,Bangalore,Evening,zero,Night,Kolkata,Economy,2.58,48,3595
GO_FIRST,G8-294,Bangalore,Evening,one,Early_Morning,Kolkata,Economy,12.33,48,3943
GO_FIRST,G8-808,Bangalore,Afternoon,one,Night,Kolkata,Economy,6.67,48,4201
Indigo,6E-978,Bangalore,Evening,one,Night,Kolkata,Economy,5.58,48,4477
Indigo,6E-6178,Bangalore,Night,one,Early_Morning,Kolkata,Economy,6.33,48,4477
Indigo,6E-6067,Bangalore,Evening,one,Night,Kolkata,Economy,6.58,48,4477
Indigo,6E-969,Bangalore,Evening,one,Late_Night,Kolkata,Economy,7.5,48,4477
Indigo,6E-684,Bangalore,Night,one,Early_Morning,Kolkata,Economy,8.17,48,4477
Air_India,AI-610,Bangalore,Evening,one,Morning,Kolkata,Economy,13.67,48,4665
Air_India,AI-610,Bangalore,Evening,one,Afternoon,Kolkata,Economy,17,48,4665
Air_India,AI-604,Bangalore,Morning,one,Morning,Kolkata,Economy,24.25,48,4665
Air_India,AI-640,Bangalore,Early_Morning,one,Morning,Kolkata,Economy,26.08,48,4665
Air_India,AI-604,Bangalore,Morning,one,Afternoon,Kolkata,Economy,27.58,48,4665
Air_India,AI-640,Bangalore,Early_Morning,one,Afternoon,Kolkata,Economy,29.42,48,4665
Air_India,AI-604,Bangalore,Morning,one,Night,Kolkata,Economy,14.67,48,5007
Air_India,AI-640,Bangalore,Early_Morning,one,Night,Kolkata,Economy,16.5,48,5007
